latitude,longitude,elevation,year,month,day,hour,minute,second,horizon,
-23.22157743012992,-175.91610776208762,416.1222332111894,2019, 5, 13, 21, 3, 59.999985694885254,0,
-26.06929314168006,-173.2593283716038,417.0989026451093,2019, 5, 13, 21, 4, 59.99998211860657,0,
-28.854123554245767,-170.46085116681618,418.0958884127601,2019, 5, 13, 21, 6, 1.8775463104248047e-05,0,
-31.564843988497277,-167.49858473922922,419.09871126548916,2019, 5, 13, 21, 7, 1.519918441772461e-05,0,
-34.18868634707568,-164.34898634481928,420.0925466773825,2019, 5, 13, 21, 8, 1.1622905731201172e-05,0,
-36.711085192993544,-160.98737997297997,421.0624786374936,2019, 5, 13, 21, 9, 8.046627044677734e-06,0,
-39.11544407389471,-157.38858815207035,421.99375801277387,2019, 5, 13, 21, 10, 4.470348358154297e-06,0,
-41.38294431674183,-153.52802132211716,422.8720568541169,2019, 5, 13, 21, 11, 8.940696716308594e-07,0,
-43.49245077965371,-149.3833687100476,423.68371485158485,2019, 5, 13, 21, 11, 59.999997317790985,0,
-45.42058971294495,-144.93701331114252,424.41597372563535,2019, 5, 13, 21, 12, 59.9999937415123,0,
-47.14209473449336,-140.17920048720228,425.0571956455439,2019, 5, 13, 21, 13, 59.99999016523361,0,
-48.630525021784315,-135.11178989833238,425.59706211875425,2019, 5, 13, 21, 14, 59.999986588954926,0,
-49.85943775356074,-129.7521002826887,426.02675018537866,2019, 5, 13, 21, 15, 59.99998301267624,0,
-50.80402557105705,-124.13597158159082,426.339083170455,2019, 5, 13, 21, 16, 59.99997943639755,0,
-51.44310245550928,-118.31888335744158,426.5286537694433,2019, 5, 13, 21, 18, 1.609325408935547e-05,0,
-51.76115881519245,-112.37407669397822,426.59191701360754,2019, 5, 13, 21, 19, 1.2516975402832031e-05,0,
-51.75008736759447,-106.3871872816375,426.5272534197455,2019, 5, 13, 21, 20, 8.940696716308594e-06,0,
-51.41015677475349,-100.44813732738848,426.33499883862106,2019, 5, 13, 21, 21, 5.364418029785156e-06,0,
-50.74997843283417,-94.64198465741589,426.017442660529,2019, 5, 13, 21, 22, 1.7881393432617188e-06,0,
-49.785472828424254,-89.04093648653743,425.57879344997417,2019, 5, 13, 21, 22, 59.99999821186066,0,
-48.53811197234023,-83.69922196428365,425.02511265193164,2019, 5, 13, 21, 23, 59.99999463558197,0,
-47.0328564800126,-78.65141730936672,424.3642173129594,2019, 5, 13, 21, 24, 59.999991059303284,0,
-45.296186088076304,-73.91373023149346,423.60555322836404,2019, 5, 13, 21, 25, 59.9999874830246,0,
-43.35449042578744,-69.48714617700043,422.76004039002737,2019, 5, 13, 21, 26, 59.99998390674591,0,
-41.232927289053364,-65.36128952232457,421.83989306583715,2019, 5, 13, 21, 27, 59.999980330467224,0,
-38.95472975590346,-61.5181460168581,420.8584166091688,2019, 5, 13, 21, 29, 1.6987323760986328e-05,0,
-36.540886781235784,-57.93519494118805,419.82978822247946,2019, 5, 13, 21, 30, 1.341104507446289e-05,0,
-34.01006982425563,-54.58775925425001,418.76881527796775,2019, 5, 13, 21, 31, 9.834766387939453e-06,0,
-31.37874125147914,-51.45066363310178,417.6906883493159,2019, 5, 13, 21, 32, 6.258487701416016e-06,0,
-28.661348150650532,-48.49928714944738,416.6107234052347,2019, 5, 13, 21, 33, 2.682209014892578e-06,0,
-25.87055930895913,-45.710172112802645,415.5441015491011,2019, 5, 13, 21, 33, 59.99999910593033,0,
