lat,lon,dist,
-2.2554905161813217,-132.91471229621322,409341.21316889406,
-2.2523302421309292,-133.15767041877052,409339.24043727334,
-2.249169882846119,-133.40062850598764,409337.2683074267,
-2.2460094639315407,-133.64358654173657,409335.2944377886,
-2.2428489726476126,-133.88654453398698,409333.31999917893,
-2.239688409041319,-134.1295024826352,409331.3449916738,
-2.2365277731611646,-134.37246038763493,409329.36941528774,
-2.2333670650471427,-134.61541824890838,409327.39327007486,
-2.2302062720254088,-134.85837607452754,409325.417726828,
-2.227045417479107,-135.10133384295483,409323.4404427538,
-2.22388449295696,-135.34429157261633,409321.4625912976,
-2.220723496387326,-135.58724925826652,409319.4841711699,
-2.217562427813812,-135.83020689982976,409317.5051824141,
-2.2144012872882395,-136.0731644972161,409315.52562508977,
-2.2112400621769432,-136.31612205866838,409313.5466699167,
-2.208078777880415,-136.55907956754618,409311.5659755362,
-2.204917421768696,-136.80203703204842,409309.5847126942,
-2.2017559938817977,-137.0449944520995,409307.6028814415,
-2.1985944942717643,-137.28795182763997,409305.6204817958,
-2.1954329229772966,-137.53090915857558,409303.6375138303,
-2.1922712652988383,-137.77386661618237,409301.65514688595,
-2.1891095507876734,-138.0168238577491,409299.6710423532,
-2.185947764731286,-138.25978105450378,409297.6863696139,
-2.182785907176923,-138.5027382063883,409295.7011286945,
-2.1796239781692486,-138.74569531330587,409293.71531966346,
-2.176461977755583,-138.98865220711633,409291.72894253425,
-2.1732998934071057,-139.23160923245996,409289.7431679641,
-2.17013775032497,-139.4745662041173,409287.75565478095,
-2.166975535975977,-139.7175231305472,409285.76757362665,
-2.1638132504036776,-139.96048001166184,409283.77892455546,
-2.1606508936517046,-140.20343684739618,409281.78970760456,
-2.1574884636469243,-140.4463938005889,409279.79992147925,
-2.154325952154378,-140.68935055400942,409277.81073943374,
-2.1511633821520935,-140.9323072531849,409275.81981908734,
-2.1480007411577478,-141.17526390670395,409273.8283310085,
-2.14483802921479,-141.41822051446968,409271.8362752701,
-2.14167524636687,-141.66117707641456,409269.84365190647,
-2.138512392662424,-141.90413359248885,409267.85046094505,
-2.135349455676543,-142.14709007139305,409265.85787293466,
-2.132186460404915,-142.3900464954928,409263.86354692245,
-2.129023394414785,-142.63300287350728,409261.86865342536,
-2.125860257750785,-142.8759592053372,409259.87319251715,
-2.1226970483373138,-143.11891548575073,409257.87716288783,
-2.119533770465975,-143.36187172502423,409255.88056726573,
-2.1163704096351585,-143.6048279268182,409253.88457478903,
-2.113206990742672,-143.84778407326826,409251.8868445935,
-2.110043501410969,-144.0907401731808,409249.8885471991,
-2.106879941676634,-144.33369622649138,409247.8896826316,
-2.103716311591603,-144.57665223313137,409245.89025092986,
-2.1005526111982706,-144.8196081930248,409243.8902521408,
-2.0973888281745108,-145.06256411513436,409241.8908566976,
-2.094224987316519,-145.30551998133444,409239.8897238538,
-2.0910610762881543,-145.54847580056872,409237.8880240553,
-2.087897095136653,-145.79143157277065,409235.88575733063,
-2.084733041788556,-146.0343874607908,409233.88292237977,
-2.081568920529846,-146.2773431387098,409231.8795219422,
-2.078404716963804,-146.52029877853886,409229.8767250547,
-2.075240455788687,-146.76325436190348,409227.8721910696,
-2.072076124721507,-147.00620989787268,409225.86709037697,
-2.068911723804756,-147.2491652182876,409223.8614230059,
-2.0657472530890577,-147.49212065925616,409221.8551890194,
-2.062582712613291,-147.73507605260772,409219.8483884577,
-2.059418090161698,-147.97803140757247,409217.8421916323,
-2.0562534103214163,-148.2209867055198,409215.8342580165,
-2.053088660864972,-148.4639419556363,409213.8257579478,
-2.0499238397140234,-148.70689732076954,409211.81669012055,
-2.0467589511608533,-148.9498524750211,409209.8070572681,
-2.0435939931259064,-149.19280758122227,409207.79685809265,
-2.040428953434662,-149.4357626487306,409205.78726286266,
-2.037263856585853,-149.67871765866806,409203.77593113686,
-2.0340986903931655,-149.92167262033803,409201.76403322624,
-2.030933454906208,-150.16462753367614,409199.75156916096,
-2.027768150168631,-150.40758239861339,409197.7385389753,
-2.0246027762252443,-150.65053721508798,409195.7249427095,
-2.0214373209522907,-150.8934919925498,409193.7119505844,
