name,latitude,longitude,elevation,year,month,day,hour,minute,second,horizon
ISS (ZARYA),-36.92300259,-177.5539775,421.1896559,2019,5,14,21,52,1.52E-05,0
ISS (ZARYA),-39.31631707,-173.9336524,422.1172783,2019,5,14,21,53,1.16E-05,0
ISS (ZARYA),-41.57104874,-170.0495206,422.9904411,2019,5,14,21,54,8.05E-06,0
ISS (ZARYA),-43.6658647,-165.8795702,423.795553,2019,5,14,21,55,4.47E-06,0
ISS (ZARYA),-45.57721126,-161.4067262,424.5199453,2019,5,14,21,56,8.94E-07,0
ISS (ZARYA),-47.27968786,-156.6220802,425.1520887,2019,5,14,21,56,59.99999732,0
ISS (ZARYA),-48.7468017,-151.5286739,425.6817906,2019,5,14,21,57,59.99999374,0
ISS (ZARYA),-49.95218106,-146.1453169,426.1003691,2019,5,14,21,58,59.99999017,0
ISS (ZARYA),-50.87124941,-140.5095288,426.4008013,2019,5,14,21,59,59.99998659,0
ISS (ZARYA),-51.48323009,-134.6784396,426.5778437,2019,5,14,22,0,59.99998301,0
ISS (ZARYA),-51.77319112,-128.7266038,426.6281234,2019,5,14,22,1,59.99997944,0
ISS (ZARYA),-51.73371932,-122.7403692,426.5501969,2019,5,14,22,3,1.61E-05,0
ISS (ZARYA),-51.3658163,-116.8096022,426.3445789,2019,5,14,22,4,1.25E-05,0
ISS (ZARYA),-50.67877411,-111.018531,426.0137365,2019,5,14,22,5,8.94E-06,0
ISS (ZARYA),-49.68906545,-105.4379688,425.5620523,2019,5,14,22,6,5.36E-06,0
ISS (ZARYA),-48.41854282,-100.1204725,424.9957558,2019,5,14,22,7,1.79E-06,0
ISS (ZARYA),-46.8923695,-95.09895459,424.3228229,2019,5,14,22,7,59.99999821,0
ISS (ZARYA),-45.13707298,-90.38817431,423.5528468,2019,5,14,22,8,59.99999464,0
ISS (ZARYA),-43.17897386,-85.98798751,422.6968813,2019,5,14,22,9,59.99999106,0
ISS (ZARYA),-41.04308494,-81.88722376,421.7672584,2019,5,14,22,10,59.99998748,0
ISS (ZARYA),-38.75245514,-78.06737246,420.7773843,2019,5,14,22,11,59.99998391,0
ISS (ZARYA),-36.32787049,-74.50564218,419.7415157,2019,5,14,22,12,59.99998033,0
ISS (ZARYA),-33.78780597,-71.17725899,418.6745202,2019,5,14,22,14,1.70E-05,0
ISS (ZARYA),-31.14854524,-68.05706631,417.5916288,2019,5,14,22,15,1.34E-05,0
ISS (ZARYA),-28.42437102,-65.12052284,416.5081736,2019,5,14,22,16,9.83E-06,0
ISS (ZARYA),-25.62781065,-62.34428845,415.4393307,2019,5,14,22,17,6.26E-06,0
ISS (ZARYA),-22.76988032,-59.70649434,414.3998607,2019,5,14,22,18,2.68E-06,0
ISS (ZARYA),-19.86032058,-57.18681081,413.4038575,2019,5,14,22,18,59.99999911,0
ISS (ZARYA),-16.90781264,-54.76638809,412.4645074,2019,5,14,22,19,59.99999553,0
ISS (ZARYA),-13.92017263,-52.42771931,411.5938659,2019,5,14,22,20,59.99999195,0
ISS (ZARYA),-10.90452403,-50.15446074,410.8026539,2019,5,14,22,21,59.99998838,0
ISS (ZARYA),-7.867450723,-47.93123023,410.1000784,2019,5,14,22,22,59.9999848,0
ISS (ZARYA),-4.815133605,-45.74339646,409.4936827,2019,5,14,22,23,59.99998122,0
ISS (ZARYA),-1.753472287,-43.57686421,408.9892263,2019,5,14,22,25,1.79E-05,0
ISS (ZARYA),1.3117921,-41.41786732,408.5906007,2019,5,14,22,26,1.43E-05,0
ISS (ZARYA),4.374980205,-39.25274809,408.2997775,2019,5,14,22,27,1.07E-05,0
ISS (ZARYA),7.430359163,-37.06775152,408.1167966,2019,5,14,22,28,7.15E-06,0
ISS (ZARYA),10.47203588,-34.8488116,408.0397887,2019,5,14,22,29,3.58E-06,0
ISS (ZARYA),13.49384295,-32.58133758,408.0650355,2019,5,14,22,30,0,0
ISS (ZARYA),16.48921565,-30.24999918,408.1870636,2019,5,14,22,30,59.99999642,0
ISS (ZARYA),19.45105616,-27.83851321,408.3987719,2019,5,14,22,31,59.99999285,0
ISS (ZARYA),22.37158158,-25.32943791,408.6915888,2019,5,14,22,32,59.99998927,0
ISS (ZARYA),25.24215235,-22.70398644,409.0556561,2019,5,14,22,33,59.99998569,0
ISS (ZARYA),28.05307864,-19.94188087,409.4800355,2019,5,14,22,34,59.99998212,0
ISS (ZARYA),30.79340584,-17.02127468,409.9529341,2019,5,14,22,36,1.88E-05,0
ISS (ZARYA),33.45067053,-13.91880904,410.4619419,2019,5,14,22,37,1.52E-05,0
ISS (ZARYA),36.01066241,-10.60984343,410.9942821,2019,5,14,22,38,1.16E-05,0
ISS (ZARYA),38.4571718,-7.069001398,411.5370622,2019,5,14,22,39,8.05E-06,0
ISS (ZARYA),40.77178022,-3.271131047,412.0775258,2019,5,14,22,40,4.47E-06,0
ISS (ZARYA),42.93373086,0.80715973,412.6032998,2019,5,14,22,41,8.94E-07,0
ISS (ZARYA),44.91995121,5.1852573,413.1026307,2019,5,14,22,41,59.99999732,0
ISS (ZARYA),46.70532114,9.875519347,413.5646074,2019,5,14,22,42,59.99999374,0
ISS (ZARYA),48.26329323,14.87958095,413.979367,2019,5,14,22,43,59.99999017,0
ISS (ZARYA),49.56695962,20.18439325,414.3382774,2019,5,14,22,44,59.99998659,0
ISS (ZARYA),50.5906018,25.75878816,414.6340971,2019,5,14,22,45,59.99998301,0
ISS (ZARYA),51.31164253,31.55170418,414.8611075,2019,5,14,22,46,59.99997944,0
ISS (ZARYA),51.71275856,37.49325281,415.0152157,2019,5,14,22,48,1.61E-05,0
ISS (ZARYA),51.78376335,43.49927171,415.0940267,2019,5,14,22,49,1.25E-05,0
ISS (ZARYA),51.52282562,49.47904564,415.0968841,2019,5,14,22,50,8.94E-06,0
